oln_id_a	oln_id_b	oln_id_c	type_ac	type_bc	num_phenotype_shared	phenotype_intersect_abc
YDL029W	YCR088W	YDR388W	p	p	1	(null, resistance to chemicals: decreased, chondramide derivative)
YDL029W	YCR088W	YJR065C	p	p	2	(null, resistance to chemicals: decreased, chondramide derivative); (null, actin cytoskeleton morphology: abnormal,  )
YDL029W	YCR088W	YMR109W	p	p	1	(null, resistance to chemicals: decreased, chondramide derivative)
YDL029W	YCR088W	YOR181W	p	p	1	(null, actin cytoskeleton morphology: abnormal,  )
YDL035C	YCR003W	YKL112W	tu	tu	1	(null, innate thermotolerance: increased,  )
YDL056W	YBR133C	YDR507C	td	ku	2	(null, desiccation resistance: decreased,  ); (null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDL088C	YBL079W	YKL068W	p	p	1	(null, resistance to chemicals: decreased, ethanol (8%))
YDL088C	YBL079W	YMR047C	p	p	1	(null, starvation resistance: decreased,  )
YDL088C	YBL079W	YMR129W	p	p	2	(null, starvation resistance: decreased,  ); (null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDL088C	YBL079W	YMR153W	p	p	2	(null, starvation resistance: decreased,  ); (null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDL100C	YBR173C	YDL020C	tu	tu	3	(null, resistance to chemicals: decreased, hygromycin B (50 ug/ml)); (null, desiccation resistance: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521))
YDL146W	YBR234C	YMR109W	p	p	1	(null, resistance to chemicals: decreased, chondramide derivative)
YDL190C	YCL008C	YLL039C	p	p	2	(null, vacuolar morphology: abnormal, sodium chloride (0.4 M)); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521))
YDL192W	YBR164C	YDL226C	p	p	9	(null, resistance to chemicals: decreased, bleomycin (0.01 U/ml)); (null, resistance to chemicals: decreased, hygromycin B (7 ug/ml)); (null, resistance to chemicals: decreased, alborixin); (null, resistance to chemicals: decreased, Congo Red); (null, resistance to chemicals: decreased, hygromycin B (50 ug/ml)); (null, resistance to chemicals: decreased, bleomycin (3.2 uM)); (null, resistance to chemicals: decreased, hygromycin B); (null, resistance to chemicals: decreased, spermine); (null, resistance to chemicals: decreased, hydroxyurea (100 mM))
YDL192W	YBR164C	YER122C	p	p	1	(null, resistance to chemicals: decreased, hygromycin B (0.075 ug/ml))
YDL203C	YBL105C	YJL095W	ku	kd	1	(null, resistance to chemicals: decreased, staurosporine)
YDL203C	YBL105C	YJL095W	ku	ku	1	(null, resistance to chemicals: decreased, staurosporine)
YDL203C	YBL105C	YJL095W	ku	p	1	(null, resistance to chemicals: decreased, staurosporine)
YDL203C	YBR260C	YHR030C	ku	ku	5	(null, resistance to chemicals: decreased, 1,4-dithiothreitol (4 mM)); (null, stress resistance: decreased, zinc dichloride (1 uM)); (null, resistance to chemicals: decreased, tunicamycin (tunicamycin B)); (null, resistance to chemicals: decreased, tunicamycin (2.5 ug/ml)); (null, resistance to chemicals: decreased, tunicamycin (0.5 and 5 ug/ml))
YDL203C	YBR260C	YJL095W	ku	ku	4	(null, resistance to chemicals: decreased, poacic acid); (null, resistance to chemicals: decreased, hydrogen chloride); (null, resistance to chemicals: decreased, staurosporine); (null, resistance to chemicals: decreased, tunicamycin (0.5 and 5 ug/ml))
YDL225W	YBL061C	YNL233W	p	p	1	(null, resistance to chemicals: decreased, latrunculin A)
YDL225W	YCR002C	YDR507C	ku	ku	1	(null, bud morphology: abnormal,  )
YDL225W	YCR002C	YDR507C	ku	p	1	(null, bud morphology: abnormal,  )
YDL225W	YCR002C	YDR507C	p	ku	1	(null, bud morphology: abnormal,  )
YDL225W	YCR002C	YDR507C	p	p	1	(null, bud morphology: abnormal,  )
YDL225W	YCR002C	YJR092W	p	p	1	(null, bud morphology: abnormal,  )
YDL225W	YCR002C	YNL233W	p	p	1	(null, resistance to chemicals: decreased, ethanol (8%))
YDL225W	YCR002C	YNL298W	ku	ku	3	(null, bud morphology: abnormal,  ); (null, resistance to chemicals: decreased, streptomycin (40 mg/ml)); (null, resistance to chemicals: decreased, ethanol (8%))
YDL226C	YAL026C	YDL192W	p	p	3	(null, resistance to chemicals: decreased, hygromycin B (7 ug/ml)); (null, resistance to chemicals: decreased, Congo Red); (null, resistance to chemicals: decreased, hygromycin B (50 ug/ml))
YDR054C	YCL008C	YLL039C	p	p	1	(null, innate thermotolerance: decreased,  )
YDR067C	YBR251W	YIL036W	tu	tu	1	(null, toxin resistance: increased,  )
YDR080W	YAL002W	YDL077C	p	p	19	(null, desiccation resistance: decreased,  ); (null, resistance to chemicals: decreased, sirolimus (0.015 ug/ml)); (null, resistance to chemicals: decreased, pyrrolidine dithiocarbamate (20 uM)); (null, resistance to chemicals: decreased, hygromycin B (50 ug/ml)); (null, metal resistance: decreased, cadmium dichloride (55 uM)); (null, resistance to chemicals: decreased, sirolimus); (null, resistance to chemicals: decreased, alborixin); (null, resistance to chemicals: decreased, chondramide derivative); (null, resistance to chemicals: decreased, nigericin); (null, resistance to chemicals: decreased, actinomycin D); (null, resistance to chemicals: decreased, geldanamycin); (null, resistance to chemicals: decreased, phleomycin D1); (null, resistance to chemicals: decreased, caffeine (6 mM)); (null, resistance to chemicals: decreased, actinomycin D (400 uM)); (null, resistance to chemicals: decreased, chromium trioxide (0.05 mM)); (null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol); (null, resistance to chemicals: decreased, hygromycin B (7 ug/ml)); (null, resistance to chemicals: decreased, bleomycin (0.01 U/ml)); (null, resistance to chemicals: decreased, caffeine (0.15%))
YDR080W	YAL002W	YDR495C	p	p	12	(null, resistance to chemicals: decreased, sirolimus (0.015 ug/ml)); (null, resistance to chemicals: decreased, pyrrolidine dithiocarbamate (20 uM)); (null, resistance to chemicals: decreased, hygromycin B (0.075 ug/ml)); (null, resistance to chemicals: decreased, sirolimus); (null, resistance to chemicals: decreased, alborixin); (null, resistance to chemicals: decreased, chondramide derivative); (null, resistance to chemicals: decreased, nigericin); (null, resistance to chemicals: decreased, actinomycin D); (null, resistance to chemicals: decreased, geldanamycin); (null, resistance to chemicals: decreased, phleomycin D1); (null, vacuolar morphology: abnormal, sodium chloride (0.4 M)); (null, resistance to chemicals: decreased, caffeine (0.15%))
YDR080W	YAL002W	YLR148W	p	p	7	(null, resistance to chemicals: decreased, pyrrolidine dithiocarbamate (20 uM)); (null, resistance to chemicals: decreased, hygromycin B (0.075 ug/ml)); (null, resistance to chemicals: decreased, hygromycin B (50 ug/ml)); (null, resistance to chemicals: decreased, tunicamycin (6 ug/ml)); (null, resistance to chemicals: decreased, L-1,4-dithiothreitol (20 mM)); (null, resistance to chemicals: decreased, chromium trioxide (0.05 mM)); (null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR080W	YAL002W	YLR396C	p	p	9	(null, resistance to chemicals: decreased, pyrrolidine dithiocarbamate (20 uM)); (null, resistance to chemicals: decreased, hygromycin B (0.075 ug/ml)); (null, resistance to chemicals: decreased, hygromycin B (50 ug/ml)); (null, resistance to chemicals: decreased, tunicamycin (6 ug/ml)); (null, resistance to chemicals: decreased, L-1,4-dithiothreitol (20 mM)); (null, resistance to chemicals: decreased, caffeine (6 mM)); (null, resistance to chemicals: decreased, chromium trioxide (0.05 mM)); (null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol); (null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDR080W	YAL002W	YMR231W	p	p	3	(null, resistance to chemicals: decreased, pyrrolidine dithiocarbamate (20 uM)); (null, resistance to chemicals: decreased, hygromycin B (0.075 ug/ml)); (null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDR080W	YAL002W	YPL045W	p	p	10	(null, desiccation resistance: decreased,  ); (null, resistance to chemicals: decreased, sirolimus (0.015 ug/ml)); (null, resistance to chemicals: decreased, hygromycin B (0.075 ug/ml)); (null, resistance to chemicals: decreased, hygromycin B (50 ug/ml)); (null, metal resistance: decreased, cadmium dichloride (55 uM)); (null, resistance to chemicals: decreased, sirolimus); (null, resistance to chemicals: decreased, chromium trioxide (0.05 mM)); (null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol); (null, vacuolar morphology: abnormal, sodium chloride (0.4 M)); (null, resistance to chemicals: decreased, caffeine (0.15%))
YDR092W	YBR179C	YLL039C	p	p	1	(null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDR123C	YBR029C	YOL108C	p	tu	1	(null, lipid particle morphology: abnormal,  )
YDR128W	YBL104C	YOL138C	p	p	1	(null, resistance to chemicals: decreased, cordycepin (20 ug/ml))
YDR142C	YBR132C	YLR191W	p	p	1	(null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDR146C	YAL024C	YNL068C	tu	tu	1	(null, resistance to chemicals: decreased, glyoxal (20 mM))
YDR162C	YAL020C	YKR048C	p	p	1	(null, resistance to chemicals: decreased, Calcofluor White (3 ug/ml))
YDR162C	YBR133C	YDR507C	p	ku	1	(null, killer toxin resistance: increased,  )
YDR162C	YBR133C	YHL007C	p	p	2	(null, resistance to chemicals: decreased, Congo Red (50 ug/ml)); (null, killer toxin resistance: increased,  )
YDR162C	YBR133C	YLR113W	ku	ku	1	(null, resistance to chemicals: decreased, arsenite(3-) (0.75 - 1.0 mM))
YDR162C	YBR133C	YNL298W	ku	ku	3	(null, resistance to chemicals: decreased, Congo Red (50 ug/ml)); (null, resistance to chemicals: decreased, arsenite(3-) (0.75 - 1.0 mM)); (null, resistance to chemicals: decreased, sirolimus)
YDR162C	YBR133C	YNL298W	p	ku	3	(null, resistance to chemicals: decreased, Congo Red (50 ug/ml)); (null, resistance to chemicals: decreased, arsenite(3-) (0.75 - 1.0 mM)); (null, resistance to chemicals: decreased, sirolimus)
YDR162C	YBR200W	YER114C	p	p	1	(null, resistance to chemicals: decreased, ethanol (8%))
YDR162C	YBR200W	YHL007C	p	ku	1	(null, resistance to enzymatic treatment: decreased,  )
YDR162C	YBR200W	YHL007C	p	p	1	(null, resistance to enzymatic treatment: decreased,  )
YDR162C	YBR200W	YJL095W	ku	ku	4	(null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, nickel sulfate); (null, resistance to chemicals: decreased, doxorubicin (50 ug/ml))
YDR162C	YBR200W	YJL095W	ku	p	4	(null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, nickel sulfate); (null, resistance to chemicals: decreased, doxorubicin (50 ug/ml))
YDR162C	YBR200W	YJL095W	p	ku	4	(null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, nickel sulfate); (null, resistance to chemicals: decreased, doxorubicin (50 ug/ml))
YDR162C	YBR200W	YJL095W	p	p	4	(null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, nickel sulfate); (null, resistance to chemicals: decreased, doxorubicin (50 ug/ml))
YDR162C	YBR200W	YNL298W	ku	ku	6	(null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, nickel sulfate); (null, resistance to chemicals: decreased, arsenite(3-) (0.75 - 1.0 mM)); (null, resistance to chemicals: decreased, hydroxyurea); (null, resistance to chemicals: decreased, ethanol (8%))
YDR162C	YBR200W	YNL298W	ku	p	6	(null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, nickel sulfate); (null, resistance to chemicals: decreased, arsenite(3-) (0.75 - 1.0 mM)); (null, resistance to chemicals: decreased, hydroxyurea); (null, resistance to chemicals: decreased, ethanol (8%))
YDR162C	YBR200W	YNL298W	p	ku	6	(null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, nickel sulfate); (null, resistance to chemicals: decreased, arsenite(3-) (0.75 - 1.0 mM)); (null, resistance to chemicals: decreased, hydroxyurea); (null, resistance to chemicals: decreased, ethanol (8%))
YDR162C	YBR200W	YNL298W	p	p	6	(null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, nickel sulfate); (null, resistance to chemicals: decreased, arsenite(3-) (0.75 - 1.0 mM)); (null, resistance to chemicals: decreased, hydroxyurea); (null, resistance to chemicals: decreased, ethanol (8%))
YDR176W	YBR082C	YDR392W	p	tu	1	(null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDR176W	YBR095C	YPL181W	p	p	1	(null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521))
YDR189W	YBL050W	YLR026C	p	p	1	(repressible, mitochondrial morphology: abnormal, doxycycline (10 ug/ml))
YDR192C	YDL088C	YKL068W	p	p	2	(null, resistance to chemicals: decreased, ethanol (8%)); (null, resistance to chemicals: decreased, cordycepin (20 ug/ml))
YDR207C	YAR002W	YAL005C	td	p	1	(null, UV resistance: decreased,  )
YDR207C	YAR002W	YLL039C	td	p	2	(null, UV resistance: decreased,  ); (null, innate thermotolerance: decreased,  )
YDR207C	YBR245C	YOR304W	p	p	1	(null, resistance to chemicals: decreased, amitrole (22 mg/ml))
YDR207C	YDL013W	YBR082C	td	p	2	(null, UV resistance: decreased,  ); (null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDR207C	YDL020C	YCL057W	td	td	1	(null, resistance to chemicals: decreased, FTase Inhibitor I (10 uM))
YDR207C	YDL020C	YOR338W	td	td	1	(null, resistance to chemicals: decreased, amitrole (22 mg/ml))
YDR207C	YDL101C	YML058W	td	kd	1	(null, resistance to chemicals: decreased, hydroxyurea (100 mM))
YDR207C	YDL101C	YML058W	td	p	1	(null, resistance to chemicals: decreased, hydroxyurea (100 mM))
YDR207C	YDL190C	YKR094C	td	p	2	(null, vacuolar morphology: abnormal, sodium chloride (0.4 M)); (null, resistance to chemicals: decreased, sodium selenide (1 uM))
YDR207C	YDL190C	YLL039C	td	p	1	(null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDR212W	YDL143W	YJL014W	p	p	3	(reduction of function, resistance to chemicals: decreased, benomyl (10 mg/ml)); (null, resistance to chemicals: decreased, latrunculin A); (null, resistance to chemicals: decreased, nocodazole)
YDR238C	YDL145C	YFR051C	p	p	3	(null, resistance to chemicals: decreased, tunicamycin (tunicamycin B)); (null, resistance to chemicals: decreased, zinc dichloride); (null, resistance to chemicals: decreased, D-glucose)
YDR238C	YDL145C	YNL287W	p	p	3	(null, resistance to chemicals: decreased, tunicamycin (tunicamycin B)); (null, resistance to chemicals: decreased, zinc dichloride); (null, resistance to chemicals: decreased, D-glucose)
YDR238C	YDL145C	YPL010W	p	p	1	(null, resistance to chemicals: decreased, zinc dichloride)
YDR318W	YDL028C	YIR010W	p	kd	1	(null, starvation resistance: decreased,  )
YDR318W	YDL028C	YMR117C	p	kd	1	(null, starvation resistance: decreased,  )
YDR318W	YDL028C	YMR117C	p	p	1	(null, starvation resistance: decreased,  )
YDR320C	YDL077C	YLR262C	p	p	4	(null, resistance to chemicals: decreased, sirolimus); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, hygromycin B (50 ug/ml)); (null, resistance to chemicals: decreased, chondramide derivative)
YDR320C	YDR137W	YLR039C	p	p	7	(null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, Congo Red (50 ug/ml)); (null, resistance to chemicals: decreased, phleomycin D1 (5 ug/ml)); (null, metal resistance: decreased, manganese(2+) (12 mM)); (null, resistance to chemicals: decreased, hygromycin B (0.075 ug/ml)); (null, resistance to chemicals: decreased, amitrole (22 mg/ml))
YDR320C	YDR137W	YLR262C	p	p	6	(null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to enzymatic treatment: decreased,  ); (null, resistance to chemicals: decreased, Congo Red (50 ug/ml)); (null, resistance to chemicals: decreased, phleomycin D1 (5 ug/ml)); (null, metal resistance: decreased, manganese(2+) (12 mM)); (null, resistance to chemicals: decreased, hygromycin B (0.075 ug/ml))
YDR334W	YCR033W	YLR200W	p	p	2	(null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, cordycepin (20 ug/ml))
YDR351W	YDL006W	YJL095W	ku	ku	1	(null, resistance to chemicals: decreased, Congo Red (50 ug/ml))
YDR351W	YDL006W	YJL095W	ku	p	1	(null, resistance to chemicals: decreased, Congo Red (50 ug/ml))
YDR363W	YDL013W	YDL042C	p	p	1	(null, desiccation resistance: decreased,  )
YDR363W-A	YDL020C	YHR200W	p	p	2	(null, desiccation resistance: decreased,  ); (null, resistance to chemicals: decreased, cycloheximide (0.18 uM))
YDR363W-A	YDL020C	YHR200W	p	td	2	(null, desiccation resistance: decreased,  ); (null, resistance to chemicals: decreased, cycloheximide (0.18 uM))
YDR363W-A	YDL097C	YBR272C	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR363W-A	YDL097C	YDR394W	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR363W-A	YDL097C	YER021W	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR363W-A	YDL097C	YFR004W	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR363W-A	YDL097C	YHR200W	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR388W	YCR088W	YBL007C	p	p	3	(null, resistance to chemicals: decreased, caffeine (7.7 mM)); (null, resistance to chemicals: decreased, bleomycin (3.2 uM)); (null, killer toxin resistance: increased,  )
YDR388W	YCR088W	YDL029W	p	p	1	(null, resistance to chemicals: decreased, chondramide derivative)
YDR388W	YCR088W	YMR109W	p	p	3	(null, resistance to chemicals: decreased, cycloheximide (0.18 uM)); (null, resistance to chemicals: decreased, chondramide derivative); (null, killer toxin resistance: increased,  )
YDR388W	YCR088W	YNL094W	p	p	1	(null, killer toxin resistance: increased,  )
YDR388W	YCR088W	YNL138W	p	p	1	(null, killer toxin resistance: increased,  )
YDR388W	YDL225W	YPL031C	ku	ku	1	(null, resistance to chemicals: decreased, calcium dichloride (0.7 M))
YDR388W	YDL225W	YPL031C	ku	p	1	(null, resistance to chemicals: decreased, calcium dichloride (0.7 M))
YDR388W	YDL225W	YPL031C	p	ku	1	(null, resistance to chemicals: decreased, calcium dichloride (0.7 M))
YDR388W	YDL225W	YPL031C	p	p	1	(null, resistance to chemicals: decreased, calcium dichloride (0.7 M))
YDR388W	YDR129C	YCR088W	p	p	2	(null, resistance to chemicals: decreased, chondramide derivative); (null, killer toxin resistance: increased,  )
YDR392W	YAL013W	YPL181W	p	p	3	(null, resistance to chemicals: increased, sirolimus); (null, resistance to chemicals: decreased, cycloheximide (0.18 ug/ml)); (null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521))
YDR392W	YBR289W	YEL009C	p	p	1	(null, resistance to chemicals: decreased, sulfometuron methyl (3 ug/ml))
YDR392W	YDL190C	YMR276W	td	p	1	(null, vacuolar morphology: abnormal, sodium chloride (0.4 M))
YDR394W	YBR272C	YDL097C	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR394W	YBR272C	YDR363W-A	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR394W	YBR272C	YER021W	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR394W	YBR272C	YFR004W	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR394W	YBR272C	YHR200W	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR394W	YBR272C	YOR259C	p	p	1	(null, resistance to chemicals: decreased, trapoxin A)
YDR394W	YDL007W	YDL147W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR394W	YDL007W	YFR004W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR394W	YDL007W	YGL048C	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR394W	YDL007W	YHL030W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR394W	YDL007W	YKL145W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR394W	YDL007W	YOR117W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR394W	YDL007W	YPR108W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YDL147W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YDR394W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YFR004W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YFR052W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YHL030W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YIL075C	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YKL145W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YOR261C	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR427W	YDL097C	YPR108W	p	p	1	(null, resistance to chemicals: decreased, 5-chloro-7-iodoquinolin-8-ol)
YDR448W	YAL013W	YPL181W	p	p	2	(null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521)); (null, resistance to chemicals: decreased, cycloheximide (0.18 ug/ml))
YDR448W	YBR095C	YPL181W	p	p	1	(null, resistance to chemicals: decreased, 7-phenyl-2,4,6-heptatrienoic hydroxamic acid (histone deacetylase inhibitor CG-1521))
