oln_id	overexpression_toxic	essential	periodically_expressed	uniprot_acc	gene_name	description	synonyms
YBL026W	0	1	0	P38203	LSM2	U6 snRNA-associated Sm-like protein LSm2	SMX5;SNP3
YBL028C	1	0	0	P38202	NA	UPF0642 protein YBL028C	NA
YBL029W	0	0	1	P38201	NA	Uncharacterized protein YBL029W	NA
YBL030C	1	1	0	P18239	PET9	ADP,ATP carrier protein 2	AAC2
YBL031W	1	0	1	P38200	SHE1	Mitotic spindle-associated protein SHE1	NA
YBL032W	1	0	1	P38199	HEK2	Heterogeneous nuclear rnp K-like protein 2	KHD1
YBL034C	0	1	0	P38198	STU1	Protein STU1	NA
YBL035C	0	1	1	P38121	POL12	DNA polymerase alpha subunit B	NA
YBL040C	0	1	0	P18414	ERD2	ER lumen protein-retaining receptor	NA
YBL041W	0	1	0	P23724	PRE7	Proteasome subunit beta type-6 precursor	PRS3;PTS1
YBL042C	1	0	0	P38196	FUI1	Uridine permease	NA
YBL050W	1	1	0	P32602	SEC17	Alpha-soluble NSF attachment protein	NA
YBL052C	0	0	1	P34218	SAS3	Histone acetyltransferase SAS3	NA
YBL059W	1	0	0	P34224	NA	Uncharacterized protein YBL059W	NA
YBL063W	0	0	1	P28742	KIP1	Kinesin-like protein KIP1	CIN9
YBL067C	0	0	1	P38187	UBP13	Ubiquitin carboxyl-terminal hydrolase 13	NA
YBL068W-A	0	0	1	P0C5L1	NA	Putative uncharacterized protein YBL068W-A	NA
YBL069W	0	0	1	P35183	AST1	Protein AST1	NA
YBL070C	1	0	0	P38186	NA	Putative uncharacterized protein YBL070C	NA
YBL073W	0	1	0	P38184	NA	Putative uncharacterized protein YBL073W	NA
YBL074C	0	1	0	P32357	AAR2	A1 cistron-splicing factor AAR2	NA
YBL076C	0	1	0	P09436	ILS1	Isoleucine--tRNA ligase, cytoplasmic	NA
YBL077W	0	1	0	P38183	NA	Putative uncharacterized protein YBL077W	NA
YBL084C	0	1	0	P38042	CDC27	Anaphase-promoting complex subunit CDC27	APC3;SNB1
YBL085W	1	0	0	P38041	BOI1	Protein BOB1	BOB1;GIN7
YBL092W	0	1	0	P38061	RPL32	60S ribosomal protein L32	NA
YBL097W	1	1	1	P38170	BRN1	Condensin complex subunit 2	NA
YBL102W	1	0	0	P38166	SFT2	Protein transport protein SFT2	NA
YBL105C	0	1	0	P24583	PKC1	Protein kinase C-like 1	HPO2;STT1
YBR002C	0	1	0	P35196	RER2	Dehydrodolichyl diphosphate syntase complex subunit RER2 {ECO:0000305}	NA
YBR003W	1	0	0	P18900	COQ1	Hexaprenyl pyrophosphate synthase, mitochondrial precursor	NA
YBR004C	0	1	0	P38211	GPI18	GPI mannosyltransferase 2	NA
YBR008C	0	0	1	P38124	FLR1	Fluconazole resistance protein 1	NA
YBR009C	1	0	1	P02309	HHF1	Histone H4	NA
YBR010W	0	0	1	P61830	HHT1	Histone H3	NA
YBR011C	0	1	0	P00817	IPP1	Inorganic pyrophosphatase	PPA;PPA1
YBR014C	1	0	0	P38068	GRX7	Monothiol glutaredoxin-7 precursor	GRX6
YBR015C	0	0	1	P38069	MNN2	Alpha-1,2-mannosyltransferase MNN2	CRV4;LDB8;TTP1
YBR021W	1	0	0	P05316	FUR4	Uracil permease	NA
YBR024W	1	0	0	P38072	SCO2	Protein SCO2, mitochondrial precursor	NA
YBR029C	1	1	0	P38221	CDS1	Phosphatidate cytidylyltransferase	CDG1
YBR038W	0	1	1	P14180	CHS2	Chitin synthase 2	NA
YBR042C	0	0	1	P38226	CST26	Uncharacterized acyltransferase CST26	NA
YBR047W	1	0	0	P38231	FMP23	Protein FMP23, mitochondrial precursor	NA
YBR049C	0	1	0	P21538	REB1	DNA-binding protein REB1	GRF2
YBR054W	1	0	1	P38079	YRO2	Protein YRO2	NA
YBR055C	0	1	0	P19735	PRP6	Pre-mRNA-splicing factor 6	RNA6
YBR059C	1	0	0	P38080	AKL1	Serine/threonine-protein kinase AKL1	NA
YBR060C	0	1	0	P32833	ORC2	Origin recognition complex subunit 2	RRR1;SIR5
YBR067C	0	0	1	P27654	TIP1	Temperature shock-inducible protein 1 precursor	NA
YBR068C	1	0	0	P38084	BAP2	Leu/Val/Ile amino-acid permease	NA
YBR070C	0	1	1	P38242	ALG14	UDP-N-acetylglucosamine transferase subunit ALG14	NA
YBR071W	0	0	1	P38243	NA	Uncharacterized protein YBR071W	NA
YBR073W	0	0	1	P38086	RDH54	DNA repair and recombination protein RDH54	TID1
YBR079C	1	1	0	P38249	RPG1	Eukaryotic translation initiation factor 3 subunit A {ECO:0000255|HAMAP-Rule:MF_03000}	TIF32
YBR080C	0	1	0	P18759	SEC18	Vesicular-fusion protein SEC18	NA
YBR083W	0	0	1	P18412	TEC1	Ty transcription activator TEC1	ROC1
YBR085C-A	0	0	1	O43137	NA	Uncharacterized protein YBR085C-A	NA
YBR085W	1	0	0	P18238	AAC3	ADP,ATP carrier protein 3	NA
YBR086C	0	0	1	P38250	IST2	Increased sodium tolerance protein 2	NA
YBR087W	0	1	0	P38251	RFC5	Replication factor C subunit 5	NA
YBR088C	0	1	1	P15873	POL30	Proliferating cell nuclear antigen	NA
YBR089C-A	1	0	0	P11633	NHP6B	Non-histone chromosomal protein 6B	NHPB
YBR089W	0	1	0	P38252	NA	Putative uncharacterized protein YBR089W	NA
YBR091C	0	1	0	P32830	TIM12	Mitochondrial import inner membrane translocase subunit TIM12	MRS5
YBR092C	0	0	1	P24031	PHO3	Constitutive acid phosphatase precursor	NA
YBR097W	1	0	0	P22219	VPS15	Serine/threonine-protein kinase VPS15	GRD8;VAC4;VPL19
YBR098W	0	0	1	P38257	MMS4	Crossover junction endonuclease MMS4	SLX2
YBR102C	1	1	0	P38261	EXO84	Exocyst complex component EXO84	USA3
YBR109C	0	1	0	P06787	CMD1	Calmodulin	NA
YBR110W	0	1	0	P16661	ALG1	Chitobiosyldiphosphodolichol beta-mannosyltransferase	NA
YBR121C	0	1	0	P38088	GRS1	Glycine--tRNA ligase 1, mitochondrial precursor	NA
YBR123C	0	1	1	P32367	TFC1	Transcription factor tau 95 kDa subunit	NA
YBR124W	0	1	0	P38269	NA	Putative uncharacterized protein YBR124W	NA
YBR130C	0	0	1	P38272	SHE3	SWI5-dependent HO expression protein 3	NA
YBR131W	1	0	0	P38273	CCZ1	Vacuolar fusion protein CCZ1	AUT11;CVT16
YBR135W	0	1	0	P20486	CKS1	Cyclin-dependent kinases regulatory subunit	NA
YBR136W	1	1	0	P38111	MEC1	Serine/threonine-protein kinase MEC1	ESR1;SAD3
YBR138C	1	0	1	P38277	NA	Uncharacterized protein YBR138C	NA
YBR139W	0	0	1	P38109	NA	Putative serine carboxypeptidase YBR139W	NA
YBR140C	0	1	0	P18963	IRA1	Inhibitory regulator protein IRA1	GLC1;PPD1
YBR142W	1	1	0	P38112	MAK5	ATP-dependent RNA helicase MAK5	NA
YBR143C	0	1	0	P12385	SUP45	Eukaryotic peptide chain release factor subunit 1	SAL4;SUP1
YBR146W	1	0	0	P38120	MRPS9	37S ribosomal protein S9, mitochondrial precursor	NA
YBR152W	0	1	0	P38282	SPP381	Pre-mRNA-splicing factor SPP381	NA
YBR153W	0	1	0	P33312	RIB7	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase	NA
YBR154C	0	1	0	P20434	RPB5	DNA-directed RNA polymerases I, II, and III subunit RPABC1	RPA7;RPC9
YBR155W	0	1	0	P33313	CNS1	Hsp70/Hsp90 co-chaperone CNS1	NA
YBR156C	1	0	0	P38283	SLI15	Inner centromere protein-related protein SLI15	NA
YBR157C	0	0	1	P38284	ICS2	Increased copper sensitivity protein 2	NA
YBR158W	1	0	1	P38285	AMN1	Antagonist of mitotic exit network protein 1	CST13;ICS4
YBR159W	1	0	0	P38286	IFA38	Very-long-chain 3-oxoacyl-CoA reductase {ECO:0000255|HAMAP-Rule:MF_03107}	NA
YBR160W	0	1	0	P00546	CDC28	Cyclin-dependent kinase 1	CDK1;HSL5;SRM5
YBR161W	0	0	1	P38287	CSH1	Mannosyl phosphorylinositol ceramide synthase CSH1	NA
YBR162C	0	0	1	P38288	TOS1	Protein TOS1 precursor	NA
YBR167C	0	1	0	P38291	POP7	Ribonucleases P/MRP protein subunit POP7	RPP2
YBR172C	1	0	0	P32909	SMY2	Protein SMY2	NA
YBR177C	1	0	0	P38295	EHT1	Medium-chain fatty acid ethyl ester synthase/esterase 2	NA
YBR179C	1	0	0	P38297	FZO1	Mitofusin FZO1	NA
YBR180W	1	0	0	P38125	DTR1	Dityrosine transporter 1	NA
YBR184W	0	0	1	P38299	NA	Uncharacterized protein YBR184W	NA
YBR190W	0	1	0	P38303	NA	Putative uncharacterized protein YBR190W	NA
YBR192W	1	1	0	P38127	RIM2	Mitochondrial carrier protein RIM2	NA
YBR193C	0	1	0	P38304	MED8	Mediator of RNA polymerase II transcription subunit 8	NA
YBR195C	1	0	0	P13712	MSI1	Chromatin assembly factor 1 subunit p50	CAC3
YBR196C	0	1	0	P12709	PGI1	Glucose-6-phosphate isomerase	NA
YBR198C	0	1	0	P38129	TAF5	Transcription initiation factor TFIID subunit 5	TAF90
YBR200W	0	0	1	P29366	BEM1	Bud emergence protein 1	SRO1
YBR202W	0	1	1	P38132	MCM7	DNA replication licensing factor MCM7	CDC47
YBR203W	1	0	0	P38308	COS111	F-box protein COS111	NA
YBR207W	1	0	0	P38310	FTH1	Iron transporter FTH1	NA
YBR211C	0	1	0	P38313	AME1	Central kinetochore subunit AME1	ARP100
YBR216C	1	0	0	P38315	YBP1	YAP1-binding protein 1	NA
YBR233W	1	0	0	P38151	PBP2	PAB1-binding protein 2	NA
YBR234C	0	1	0	P38328	ARC40	Actin-related protein 2/3 complex subunit 1	NA
YBR236C	0	1	0	P32783	ABD1	mRNA cap guanine-N7 methyltransferase	NA
YBR237W	1	1	0	P21372	PRP5	Pre-mRNA-processing ATP-dependent RNA helicase PRP5	RNA5
YBR241C	1	0	1	P38142	NA	Probable metabolite transport protein YBR241C	NA
YBR242W	0	0	1	P38331	NA	HD domain-containing protein YBR242W	NA
YBR243C	0	1	0	P07286	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	TUR1
YBR247C	0	1	0	P38333	ENP1	Essential nuclear protein 1	MEG1
YBR250W	1	0	0	P33757	SPO23	Sporulation protein 23	NA
YBR252W	0	1	0	P33317	DUT1	Deoxyuridine 5'-triphosphate nucleotidohydrolase	NA
YBR253W	0	1	0	P32570	SRB6	Mediator of RNA polymerase II transcription subunit 22	MED22
YBR254C	0	1	0	P38334	TRS20	Trafficking protein particle complex subunit 20	NA
YBR255W	0	0	1	P38335	MTC4	Maintenance of telomere capping protein 4	NA
YBR256C	0	1	0	P38145	RIB5	Riboflavin synthase	NA
YBR257W	0	1	0	P38336	POP4	RNases MRP/P 32.9 kDa subunit	NA
YBR260C	1	0	0	P38339	RGD1	RHO GTPase-activating protein RGD1	NA
YBR265W	0	1	0	P38342	TSC10	3-ketodihydrosphingosine reductase TSC10	NA
YBR267W	0	0	1	P38344	REI1	Cytoplasmic 60S subunit biogenesis factor REI1	NA
YBR273C	1	0	0	P38349	UBX7	UBX domain-containing protein 7	NA
YBR274W	1	0	0	P38147	CHK1	Serine/threonine-protein kinase CHK1	NA
YBR275C	0	0	1	P29539	RIF1	Telomere length regulator protein RIF1	NA
YBR283C	1	0	0	P38353	SSH1	Sec sixty-one protein homolog	NA
YCL004W	0	1	0	P25578	PGS1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	PEL1
YCL014W	1	0	1	P25558	BUD3	Bud site selection protein 3	NA
YCL017C	0	1	0	P25374	NFS1	Cysteine desulfurase, mitochondrial {ECO:0000303|PubMed:15220327} precursor	SPL1 {ECO:0000303|PubMed:8444805}
YCL024W	0	0	1	P25389	KCC4	Probable serine/threonine-protein kinase KCC4	NA
YCL027W	0	0	1	P11710	FUS1	Nuclear fusion protein FUS1	NA
YCL029C	1	0	0	P11709	BIK1	Nuclear fusion protein BIK1	NA
YCL031C	0	1	0	P25368	RRP7	Ribosomal RNA-processing protein 7	NA
YCL040W	0	0	1	P17709	GLK1	Glucokinase-1	HOR3
YCL041C	0	1	0	P25571	NA	Putative uncharacterized protein YCL041C	NA
YCL043C	0	1	0	P17967	PDI1	Protein disulfide-isomerase precursor	MFP1;TRG1
YCL048W	1	0	0	P25380	SPS22	Sporulation-specific protein 22 precursor	NA
YCL051W	1	0	0	P25579	LRE1	Laminarase-resistance protein LRE1	NA
YCL052C	0	1	0	P25580	PBN1	Protein PBN1	NA
YCL054W	0	1	0	P25582	SPB1	27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase	NA
YCL059C	0	1	0	P25586	KRR1	KRR1 small subunit processome component	NA
YCL061C	0	0	1	P25588	MRC1	Mediator of replication checkpoint protein 1	NA
YCL063W	0	0	1	P25591	VAC17	vacuole-related protein 17	NA
YCL067C	1	0	0	P0CY09	HMLALPHA2	Silenced mating-type protein ALPHA2	NA
YCL069W	1	0	0	P25594	VBA3	Vacuolar basic amino acid transporter 3	NA
YCR011C	1	0	0	P25371	ADP1	Probable ATP-dependent permease precursor	NA
YCR012W	0	1	0	P00560	PGK1	Phosphoglycerate kinase	NA
YCR013C	0	1	0	P25614	NA	Putative uncharacterized protein YCR013C	NA
YCR024C-A	0	0	1	P32903	PMP1	Plasma membrane ATPase proteolipid 1 precursor	NA
YCR024C-B	0	0	1	Q3E7Z8	NA	Uncharacterized protein YCR024C-B	NA
YCR027C	1	0	0	P25378	RHB1	Rheb-like protein RHB1 precursor	RSG1
YCR034W	1	0	0	P25358	ELO2	Elongation of fatty acids protein 2 {ECO:0000303|PubMed:9211877}	FEN1 {ECO:0000303|PubMed:8246690};GNS1 {ECO:0000303|PubMed:7768822};VBM2 {ECO:0000303|PubMed:9832547}
YCR035C	0	1	0	P25359	RRP43	Exosome complex component RRP43	NA
YCR039C	1	0	0	P0CY08	MATALPHA2	Mating-type protein ALPHA2	ALPHA-2;MAT2A;MATAL2
YCR042C	0	0	1	P23255	TAF2	Transcription initiation factor TFIID subunit 2	TAF150;TSM1
YCR044C	1	0	0	P25625	PER1	Protein PER1 precursor	COS16
YCR049C	1	0	0	P25629	NA	Putative uncharacterized protein YCR049C	NA
YCR052W	0	1	0	P25632	RSC6	Chromatin structure-remodeling complex protein RSC6	NA
YCR054C	0	1	0	P25355	CTR86	Copper transport protein 86	NA
YCR057C	0	1	0	P25635	PWP2	Periodic tryptophan protein 2	UTP1
YCR065W	0	0	1	P25364	HCM1	Forkhead transcription factor HCM1	NA
YCR072C	0	1	0	P25382	RSA4	Ribosome assembly protein 4 {ECO:0000303|PubMed:16221974}	NA
YCR077C	1	0	0	P25644	PAT1	DNA topoisomerase 2-associated protein PAT1	MRT1
YCR086W	0	0	1	P25651	CSM1	Monopolin complex subunit CSM1	SPO86
YCR090C	0	0	1	P25654	NA	UPF0587 protein YCR090C	NA
YCR093W	0	1	0	P25655	CDC39	General negative regulator of transcription subunit 1	NOT1;ROS1
YCR095W-A	0	0	1	Q3E787	NA	Putative uncharacterized protein YCR095W-A	NA
YCR096C	1	0	0	P0CY13	HMRA2	Silenced mating-type protein A2	NA
YCR098C	0	0	1	P25346	GIT1	Probable metabolite transport protein GIT1	NA
YCR099C	1	0	0	P25657	NA	Uncharacterized protein YCR099C	NA
YCR100C	1	0	0	P25606	NA	Uncharacterized protein YCR100C	NA
YDL003W	1	1	1	Q12158	MCD1	Sister chromatid cohesion protein 1	PDS3;RHC21;SCC1
YDL004W	0	1	0	Q12165	ATP16	ATP synthase subunit delta, mitochondrial precursor	NA
YDL007W	0	1	0	P40327	RPT2	26S protease regulatory subunit 4 homolog	YHS4;YTA5
YDL008W	0	1	0	Q12157	APC11	Anaphase-promoting complex subunit 11	NA
YDL010W	0	0	1	Q12438	GRX6	Monothiol glutaredoxin-6 precursor	NA
YDL013W	1	0	0	P32828	SLX5	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5	HEX3
YDL014W	0	1	0	P15646	NOP1	rRNA 2'-O-methyltransferase fibrillarin	LOT3
YDL015C	0	1	0	Q99190	TSC13	Very-long-chain enoyl-CoA reductase {ECO:0000305}	NA
YDL016C	0	1	0	Q12115	NA	Putative uncharacterized protein YDL016C	NA
YDL017W	0	1	0	P06243	CDC7	Cell division control protein 7	OAF2
YDL018C	0	0	1	Q12403	ERP3	Protein ERP3 precursor	NA
YDL020C	1	0	0	Q03465	RPN4	Protein RPN4	SON1;UFD5
YDL022W	0	0	1	Q00055	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)] 1	DAR1;HOR1;OSG1
YDL025C	1	0	0	Q12100	RTK1	Probable serine/threonine-protein kinase RTK1	NA
YDL028C	1	1	1	P54199	MPS1	Serine/threonine-protein kinase MPS1	RPK1
YDL029W	0	1	0	P32381	ARP2	Actin-related protein 2	ACT2
YDL030W	0	1	0	P19736	PRP9	Pre-mRNA-splicing factor PRP9	NA
YDL031W	0	1	0	Q12389	DBP10	ATP-dependent RNA helicase DBP10	NA
YDL034W	1	0	0	Q12448	NA	Putative uncharacterized protein YDL034W	NA
YDL039C	0	0	1	Q12459	PRM7	Pheromone-regulated protein PRM7	NA
YDL041W	1	0	0	Q12352	NA	Putative uncharacterized protein YDL041W	NA
YDL043C	0	1	0	Q07350	PRP11	Pre-mRNA-splicing factor PRP11	PRP10;RNA11
YDL044C	0	0	1	P10849	MTF2	Mitochondrial transcription factor 2 precursor	NAM1
YDL045C	0	1	0	P38913	FAD1	FAD synthase	NA
YDL047W	1	0	0	P20604	SIT4	Serine/threonine-protein phosphatase PP1-1	PPH1
YDL051W	1	0	0	P33399	LHP1	La protein homolog	LAH1;YLA1
YDL055C	0	1	0	P41940	PSA1	Mannose-1-phosphate guanyltransferase	MPG1;SRB1;VIG9
YDL056W	1	0	0	P39678	MBP1	Transcription factor MBP1	NA
YDL058W	0	1	0	P25386	USO1	Intracellular protein transport protein USO1	INT1
YDL060W	0	1	0	Q07381	TSR1	Ribosome biogenesis protein TSR1	NA
YDL063C	0	0	1	Q07395	SYO1	Synchronized import protein 1	NA
YDL064W	0	1	0	P50623	UBC9	SUMO-conjugating enzyme UBC9	NA
YDL067C	1	0	0	P07255	COX9	Cytochrome c oxidase subunit 7A precursor	NA
YDL074C	0	0	1	Q07457	BRE1	E3 ubiquitin-protein ligase BRE1	NA
YDL082W	1	0	0	Q12690	RPL13A	60S ribosomal protein L13-A	NA
YDL084W	1	1	0	Q07478	SUB2	ATP-dependent RNA helicase SUB2	NA
YDL087C	0	1	0	Q07508	LUC7	Protein LUC7	EPE1;EXM2
YDL088C	1	0	0	Q05166	ASM4	Nucleoporin ASM4	NUP59
YDL090C	1	0	0	P22007	RAM1	Protein farnesyltransferase subunit beta	DPR1;SCG2;STE16
YDL091C	1	0	0	Q12229	UBX3	UBX domain-containing protein 3	NA
YDL092W	0	1	0	P38985	SRP14	Signal recognition particle subunit SRP14	NA
YDL093W	0	0	1	P52867	PMT5	Dolichyl-phosphate-mannose--protein mannosyltransferase 5 {ECO:0000305}	NA
YDL095W	0	0	1	P33775	PMT1	Dolichyl-phosphate-mannose--protein mannosyltransferase 1 {ECO:0000305}	NA
YDL097C	0	1	0	Q12377	RPN6	26S proteasome regulatory subunit RPN6	NAS4
YDL098C	0	1	0	Q12368	SNU23	23 kDa U4/U6.U5 small nuclear ribonucleoprotein component	NA
YDL101C	0	0	1	P39009	DUN1	DNA damage response protein kinase DUN1	NA
YDL102W	0	1	1	P15436	POL3	DNA polymerase delta catalytic subunit	CDC2;TEX1
YDL103C	1	1	1	P43123	QRI1	UDP-N-acetylglucosamine pyrophosphorylase	UAP1
YDL105W	0	1	1	P43124	NSE4	Non-structural maintenance of chromosome element 4	QRI2
YDL107W	1	0	0	P40990	MSS2	Protein MSS2, mitochondrial precursor	NA
YDL108W	0	1	0	P06242	KIN28	Serine/threonine-protein kinase KIN28	NA
YDL111C	0	1	0	Q12277	RRP42	Exosome complex component RRP42	NA
YDL117W	1	0	1	Q07533	CYK3	Cytokinesis protein 3	NA
YDL119C	1	0	0	Q07534	HEM25	Solute carrier family 25 member 38 homolog {ECO:0000255|HAMAP-Rule:MF_03064}	NA
YDL120W	0	1	0	Q07540	YFH1	Frataxin homolog, mitochondrial precursor	NA
YDL126C	1	1	0	P25694	CDC48	Cell division control protein 48 {ECO:0000305|PubMed:6749598}	NA
YDL127W	0	0	1	P25693	PCL2	PHO85 cyclin-2	CLN4
YDL129W	1	0	0	Q07555	NA	Uncharacterized protein YDL129W	NA
YDL132W	1	1	0	Q12018	CDC53	Cell division control protein 53	NA
YDL134C	1	0	0	P23594	PPH21	Serine/threonine-protein phosphatase PP2A-1 catalytic subunit	NA
YDL138W	0	0	1	Q12300	RGT2	High-affinity glucose transporter RGT2	NA
YDL139C	1	1	0	Q12334	SCM3	Protein SCM3	NA
YDL140C	0	1	0	P04050	RPO21	DNA-directed RNA polymerase II subunit RPB1	RPB1;RPB220;SUA8
YDL141W	1	1	0	P48445	BPL1	Biotin--protein ligase	ACC2
YDL143W	0	1	0	P39078	CCT4	T-complex protein 1 subunit delta	ANC2;TCP4
YDL145C	1	1	0	P53622	COP1	Coatomer subunit alpha	RET1;SEC33;SOO1
YDL147W	0	1	0	Q12250	RPN5	26S proteasome regulatory subunit RPN5	NAS5
YDL148C	0	1	0	Q99207	NOP14	Nucleolar complex protein 14	UTP2
YDL150W	0	1	0	P25441	RPC53	DNA-directed RNA polymerase III subunit RPC4	RPC4
YDL152W	0	1	0	Q12394	NA	Putative uncharacterized protein YDL152W	NA
YDL153C	1	1	1	Q12136	SAS10	Something about silencing protein 10	UTP3
YDL155W	1	0	0	P24870	CLB3	G2/mitotic-specific cyclin-3	NA
YDL156W	0	0	1	Q12510	CMR1	DNA damage-binding protein CMR1 {ECO:0000305|PubMed:22367945}	NA
YDL160C	1	0	0	P39517	DHH1	ATP-dependent RNA helicase DHH1 {ECO:0000305}	NA
YDL161W	1	0	0	Q12518	ENT1	Epsin-1	NA
YDL163W	0	1	0	Q12148	NA	Putative uncharacterized protein YDL163W	NA
YDL164C	0	1	1	P04819	CDC9	DNA ligase 1 precursor	NA
YDL165W	0	1	0	P06100	CDC36	General negative regulator of transcription subunit 2	DNA19;NOT2
YDL166C	0	1	0	Q12055	FAP7	Adenylate kinase isoenzyme 6 homolog FAP7 {ECO:0000255|HAMAP-Rule:MF_03173}	NA
YDL173W	1	0	0	Q12515	PAR32	Protein PAR32	NA
YDL179W	0	0	1	Q12477	PCL9	PHO85 cyclin-9	NA
YDL183C	1	0	0	P48569	NA	Uncharacterized protein YDL183C	NA
YDL186W	1	0	0	P48568	NA	Uncharacterized protein YDL186W	NA
YDL188C	1	0	0	P23595	PPH22	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit	SIS4
YDL189W	1	0	0	Q05672	RBS1	RNA-binding suppressor of PAS kinase protein 1	NA
YDL193W	0	1	0	Q12063	NUS1	Dehydrodolichyl diphosphate syntase complex subunit NUS1 {ECO:0000305}	NA
YDL195W	0	1	0	P38968	SEC31	Protein transport protein SEC31	WEB1
YDL196W	0	1	0	Q12187	NA	Putative uncharacterized protein YDL196W	NA
YDL197C	0	0	1	P32448	ASF2	Anti-silencing protein 2	NA
YDL198C	1	0	0	P38988	GGC1	Mitochondrial GTP/GDP carrier protein 1	SHM1;YHM1
YDL203C	1	0	0	Q07622	ACK1	Activator of C kinase protein 1	NA
YDL205C	0	1	0	P28789	HEM3	Porphobilinogen deaminase	NA
YDL207W	1	1	0	Q12315	GLE1	Nucleoporin GLE1	BRR3;RSS1
YDL208W	0	1	0	P32495	NHP2	H/ACA ribonucleoprotein complex subunit 2	NA
YDL209C	0	1	0	Q12046	CWC2	Pre-mRNA-splicing factor CWC2	NTC40;SLC3
YDL211C	1	0	1	Q12121	NA	Uncharacterized protein YDL211C	NA
YDL212W	0	1	0	Q02774	SHR3	Secretory component protein SHR3	NA
YDL217C	0	1	0	Q12328	TIM22	Mitochondrial import inner membrane translocase subunit TIM22	NA
YDL220C	1	1	0	P32797	CDC13	Cell division control protein 13	NA
YDL221W	0	1	0	Q07649	NA	Putative uncharacterized protein YDL221W	NA
YDL224C	1	0	0	Q07655	WHI4	Protein WHI4	NA
YDL225W	1	0	0	Q07657	SHS1	Seventh homolog of septin 1	SEP7
YDL226C	1	0	0	P35197	GCS1	ADP-ribosylation factor GTPase-activating protein GCS1	NA
YDL227C	0	0	1	P09932	HO	Homothallic switching endonuclease	NA
YDL235C	0	1	0	Q07688	YPD1	Phosphorelay intermediate protein YPD1	NA
