oln_id	uniprot_acc	gene_name	description	synonyms
YDL243C	Q07747	AAD4	Probable aryl-alcohol dehydrogenase AAD4	
YBL074C	P32357	AAR2	A1 cistron-splicing factor AAR2	
YOR239W	Q08641	ABP140	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase	TRM140
YJR083C	P47129	ACF4	Assembly-complementing factor 4	
YNL331C	P42884	AAD14	Putative aryl-alcohol dehydrogenase AAD14	
YGL115W	P12904	SNF4	5'-AMP-activated protein kinase subunit gamma	CAT3;SCI1
YJR108W	P47146	ABM1	Aberrant microtubules protein 1	
YIL107C	P40433	PFK26	6-phosphofructo-2-kinase 1	
YHR183W	P38720	GND1	6-phosphogluconate dehydrogenase, decarboxylating 1	
YNR016C	Q00955	ACC1	Acetyl-CoA carboxylase	ABP2;FAS3;MTR7
YPL267W	Q08981	ACM1	APC/C-CDH1 modulator 1	
YLR153C	P52910	ACS2	Acetyl-coenzyme A synthetase 2	
YJR149W	P47177		Putative nitronate monooxygenase	
YGR256W	P53319	GND2	6-phosphogluconate dehydrogenase, decarboxylating 2	
YJR155W	P47182	AAD10	Putative aryl-alcohol dehydrogenase AAD10	
YPL088W	Q02895	AAD16	Putative aryl-alcohol dehydrogenase AAD16 {ECO:0000303|PubMed:10581269}	
YFL056C	P43547	AAD6	Putative aryl-alcohol dehydrogenase AAD6 {ECO:0000303|PubMed:10581269}	
YIL036W	P40535	CST6	ATF/CREB activator 2	ACA2
YGR037C	P31787	ACB1	Acyl-CoA-binding protein	ACB
YJL200C	P39533	ACO2	Homocitrate dehydratase, mitochondrial precursor	
YLR304C	P19414	ACO1	Aconitate hydratase, mitochondrial precursor	GLU1
YAL054C	Q01574	ACS1	Acetyl-coenzyme A synthetase 1	
YHR047C	P37898	AAP1	Alanine/arginine aminopeptidase	
YDR376W	P48360	ARH1	Probable NADPH:adrenodoxin oxidoreductase, mitochondrial precursor	
YPL252C	Q12184	YAH1	Adrenodoxin homolog, mitochondrial precursor	
YBR085W	P18238	AAC3	ADP,ATP carrier protein 3	
YOR014W	P38903	RTS1	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	SCS1
YCR107W	P25612	AAD3	Putative aryl-alcohol dehydrogenase AAD3	
YMR072W	Q02486	ABF2	ARS-binding factor 2, mitochondrial precursor	HIM1
YER065C	P28240	ICL1	Isocitrate lyase {ECO:0000303|PubMed:1551398}	
YDL203C	Q07622	ACK1	Activator of C kinase protein 1	
YDR161W	Q03771	ACL4	Assembly chaperone of RPL4 {ECO:0000303|PubMed:25936803}	
YGL205W	P13711	POX1	Acyl-coenzyme A oxidase	FOX1
YKL192C	P32463	ACP1	Acyl carrier protein, mitochondrial precursor	
YJR105W	P47143	ADO1	Adenosine kinase	
YER017C	P39925	AFG3	Mitochondrial respiratory chain complexes assembly protein AFG3	YTA10
YDR214W	Q12449	AHA1	Hsp90 co-chaperone AHA1	
YOR302W	P08521		Arginine attenuator peptide	
YDR448W	Q02336	ADA2	Transcriptional adapter 2	
YOL086C	P00330	ADH1	Alcohol dehydrogenase 1	ADC1
YMR303C	P00331	ADH2	Alcohol dehydrogenase 2	ADR2
YMR318C	Q04894	ADH6	NADP-dependent alcohol dehydrogenase 6	
YHR185C	P38872	PFS1	Prospore formation at selected spindle poles protein 1	ADY1
YLR227C	Q05955	ADY4	Accumulates dyads protein 4	
YMR064W	P32493	AEP1	ATPase expression protein 1, mitochondrial precursor	NCA1
YPL202C	Q08957	AFT2	Iron-regulated transcriptional activator AFT2	
YDR524C	Q04412	AGE1	ADP-ribosylation factor GTPase-activating protein effector protein 1	SAT1
YBR132C	P38090	AGP2	General amino acid permease AGP2	
YOR023C	Q12433	AHC1	Protein AHC1	
YBR194W	P38305	AIM4	Altered inheritance of mitochondria protein 4	SOY1
YMR092C	P46680	AIP1	Actin-interacting protein 1	
YDL175C	Q12476	AIR2	Protein AIR2	
YBR059C	P38080	AKL1	Serine/threonine-protein kinase AKL1	
YLR131C	P21192	ACE2	Metallothionein expression activator	
YPR006C	Q12031	ICL2	Mitochondrial 2-methylisocitrate lyase	
YBL015W	P32316	ACH1	Acetyl-CoA hydrolase	
YFL039C	P60010	ACT1	Actin	ABY1;END7
YCR011C	P25371	ADP1	Probable ATP-dependent permease precursor	
YDL239C	Q07732	ADY3	Accumulates dyads protein 3	
YMR282C	P22136	AEP2	ATPase expression protein 2, mitochondrial precursor	ATP13
YPL005W	Q12089	AEP3	ATPase expression protein 3	
YEL052W	P32317	AFG1	Protein AFG1	AFG
YGL071W	P22149	AFT1	Iron-regulated transcriptional activator AFT1	RCS1
YGL032C	P32781	AGA2	A-agglutinin-binding subunit precursor	
YPR021C	Q12482	AGC1	Mitochondrial aspartate-glutamate transporter AGC1	
YFL055W	P43548	AGP3	General amino acid permease AGP3	
Q0055	P03876	AI2	Putative COX1/OXI3 intron 2 protein	
YJL131C	P47015	AIM23	Altered inheritance of mitochondria protein 23, mitochondrial precursor	
YJR100C	P47140	AIM25	Altered inheritance rate of mitochondria protein 25	
YML050W	Q04689	AIM32	Altered inheritance of mitochondria protein 32	
YMR157C	Q03798	AIM36	Altered inheritance of mitochondria protein 36, mitochondrial precursor	FMP39
YPL227C	P40350	ALG5	Dolichyl-phosphate beta-glucosyltransferase	
YIR029W	P25335	DAL2	Allantoicase	ALC1
YNL270C	P38971	ALP1	Basic amino-acid permease	
YGL055W	P21147	OLE1	Acyl-CoA desaturase 1	
YGL256W	P10127	ADH4	Alcohol dehydrogenase 4	ZRG5
YBL030C	P18239	PET9	ADP,ATP carrier protein 2	AAC2
YLR109W	P38013	AHP1	Peroxiredoxin type-2	
YER093C-A	P87275	AIM11	Altered inheritance of mitochondria protein 11	GEP8
YGL160W	P53109	AIM14	Probable metalloreductase AIM14	
YIL158W	P40451	AIM20	Altered inheritance of mitochondria protein 20	
YOL053W	Q08223	AIM39	Altered inheritance of mitochondria protein 39, mitochondrial precursor	
YBR108W	P38266	AIM3	Altered inheritance of mitochondria protein 3	
YPL158C	Q99299	AIM44	Altered inheritance of mitochondria protein 44	
YGR227W	P50076	DIE2	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	ALG10
YGL021W	P43633	ALK1	Serine/threonine-protein kinase Haspin homolog ALK1	
YDR242W	P22580	AMD2	Probable amidase	AMDY;AMDY1
YBR211C	P38313	AME1	Central kinetochore subunit AME1	ARP100
YMR184W	Q03233	ADD37	Alpha1-proteinase inhibitor-degradation deficient protein 37	
YBR111C	Q01976	YSA1	ADP-ribose pyrophosphatase	
YCR010C	P25613	ADY2	Accumulation of dyads protein 2	ATO1
YFL030W	P43567	AGX1	Alanine--glyoxylate aminotransferase 1	
Q0075	Q9ZZX0	AI5_BETA	Intron-encoded DNA endonuclease aI5 beta	
YNR074C	P52923	AIF1	Apoptosis-inducing factor 1	CPD1
YOR215C	Q12032	AIM41	Altered inheritance of mitochondria protein 41, mitochondrial precursor	
YDR063W	Q12156	AIM7	Protein AIM7	
YER080W	P40053	AIM9	Altered inheritance of mitochondria protein 9, mitochondrial precursor	FMP29
YIL079C	P40507	AIR1	Protein AIR1	
YMR170C	P47771	ALD2	Aldehyde dehydrogenase [NAD(P)+] 1	ALD5
YMR169C	P54114	ALD3	Aldehyde dehydrogenase [NAD(P)+] 2	ALD4
YBR110W	P16661	ALG1	Chitobiosyldiphosphodolichol beta-mannosyltransferase	
YML086C	P54783	ALO1	D-arabinono-1,4-lactone oxidase	
YJL084C	P47029	ALY2	Arrestin-related trafficking adapter 3	ART3
YIL099W	P08019	SGA1	Glucoamylase, intracellular sporulation-specific	SGA
YNL141W	P53909	AAH1	Adenine deaminase {ECO:0000255|HAMAP-Rule:MF_03145}	
YMR083W	P07246	ADH3	Alcohol dehydrogenase 3, mitochondrial precursor	
YBR145W	P38113	ADH5	Alcohol dehydrogenase 5	
YCR105W	P25377	ADH7	NADP-dependent alcohol dehydrogenase 7	
YDR216W	P07248	ADR1	Regulatory protein ADR1	
YMR056C	P04710	AAC1	ADP,ATP carrier protein 1	
YNL107W	P53930	YAF9	Protein AF-9 homolog	
YOR129C	Q99222	AFI1	ARF3-interacting protein 1	
YIL044C	P40529	AGE2	ADP-ribosylation factor GTPase-activating protein effector protein 2	
YEL058W	P38628	PCM1	Phosphoacetylglucosamine mutase {ECO:0000305}	AGM1 {ECO:0000303|PubMed:8174553}
YCL025C	P25376	AGP1	General amino acid permease AGP1	
YHR093W	P29589	AHT1	Putative hexose transport activator protein	
YHL021C	P23180	AIM17	Probable oxidoreductase AIM17 precursor	FMP12
YHR198C	P38884	AIM18	Altered inheritance of mitochondria protein 18, mitochondrial precursor	FMP22
YIL087C	P40502	AIM19	Altered inheritance of mitochondria protein 19, mitochondrial	
YML087C	Q04516	AIM33	Uncharacterized oxidoreductase AIM33	
YMR003W	Q03673	AIM34	Altered inheritance of mitochondria protein 34, mitochondrial precursor	
YHR199C	P38885	AIM46	Altered inheritance of mitochondria protein 46, mitochondrial precursor	FMP34
YOR374W	P46367	ALD4	Potassium-activated aldehyde dehydrogenase, mitochondrial precursor	ALD7;ALDH2
YPL061W	P54115	ALD6	Magnesium-activated aldehyde dehydrogenase, cytosolic	ALDH1
YNR030W	P53730	ALG12	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase	ECM39
YNL219C	P53868	ALG9	Alpha-1,2-mannosyltransferase ALG9	
YML035C	P15274	AMD1	AMP deaminase	AMD
YKL047W	P36090	ANR2	Uncharacterized protein ANR2	
YPR128C	Q06497	ANT1	Peroxisomal adenine nucleotide transporter 1	
YCL058W-A	Q2V2Q1	ADF1	Antisense of depressing factor protein 1	
YLR397C	P32794	AFG2	ATPase family gene 2 protein	
YDR085C	P33304	AFR1	Protein AFR1	
YNR044W	P32323	AGA1	A-agglutinin anchorage subunit precursor	
YIR003W	P40563	AIM21	Altered inheritance of mitochondria protein 21	
YKL037W	P32858	AIM26	Altered inheritance of mitochondria protein 26, mitochondrial	
YNL048W	P53954	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	
YBL082C	P38179	ALG3	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase	RHK1
YOR002W	Q12001	ALG6	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase	
YBL009W	P32789	ALK2	Serine/threonine-protein kinase Haspin homolog ALK2	
YBR158W	P38285	AMN1	Antagonist of mitotic exit network protein 1	CST13;ICS4
YBR288C	P38153	APM3	AP-3 complex subunit mu	YKS6
YCL050C	P16550	APA1	Protein APA1	DTP {ECO:0000303|PubMed:2174812}
YBR151W	P38281	APD1	Actin patches distal protein 1	
YNL077W	P53940	APJ1	J domain-containing protein APJ1	
YJR080C	P47127	AIM24	Altered inheritance of mitochondria protein 24, mitochondrial precursor	FMP26
YKR074W	P36154	AIM29	Altered inheritance rate of mitochondria protein 29	
YAL049C	P39721	AIM2	Protein AIM2	
YER052C	P10869	HOM3	Aspartokinase	
YOR067C	P40351	ALG8	Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase	
YKR021W	P36117	ALY1	Arrestin-related trafficking adapter 6	ART6
YGR225W	P50082	AMA1	Meiosis-specific APC/C activator protein AMA1	SPO70
YGR241C	P53309	YAP1802	Clathrin coat assembly protein AP180B	
YKL135C	P36000	APL2	AP-1 complex subunit beta-1	
YOL062C	Q99186	APM4	AP-2 complex subunit mu	AMP1
YGR261C	P46682	APL6	AP-3 complex subunit beta	YKS5
YDR530C	P22108	APA2	Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2 {ECO:0000303|PubMed:2174863}	
YER036C	P40024	ARB1	ABC transporter ATP-binding protein ARB1	
YCR082W	P25649	AHC2	ADA histone acetyltransferase complex component 2	
Q0050	P03875	AI1	Putative COX1/OXI3 intron 1 protein	
YAL046C	P39724	AIM1	Altered inheritance of mitochondria protein 1	
YDL237W	Q07716	AIM6	Altered inheritance of mitochondria protein 6 precursor	
YDR264C	P39010	AKR1	Palmitoyltransferase AKR1	
YOR034C	Q12013	AKR2	Probable palmitoyltransferase AKR2	
YLR089C	P52893	ALT1	Probable alanine aminotransferase, mitochondrial precursor	
YDR111C	P52892	ALT2	Probable alanine aminotransferase	
YJL122W	P47019	ALB1	Ribosome biogenesis protein ALB1	
YER073W	P40047	ALD5	Aldehyde dehydrogenase 5, mitochondrial precursor	ALD3;ALDH5
YKL060C	P14540	FBA1	Fructose-bisphosphate aldolase	
YGL047W	P53178	ALG13	UDP-N-acetylglucosamine transferase subunit ALG13	
YBR070C	P38242	ALG14	UDP-N-acetylglucosamine transferase subunit ALG14	
YIR032C	P32459	DAL3	Ureidoglycolate lyase	
YIR027C	P32375	DAL1	Allantoinase	
YLR170C	P35181	APS1	AP-1 complex subunit sigma-1	YAP19
YBL037W	P38065	APL3	AP-2 complex subunit alpha	
YDL008W	Q12157	APC11	Anaphase-promoting complex subunit 11	
YOR249C	Q08683	APC5	Anaphase-promoting complex subunit 5	RMC1
YLR102C	Q12107	APC9	Anaphase-promoting complex subunit 9	
YMR062C	Q04728	ARG7	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03124} precursor	ECM40
YOR175C	Q08548	ALE1	Lysophospholipid acyltransferase	LCA1;LPT1;SLC4
YGL065C	P43636	ALG2	Alpha-1,3/1,6-mannosyltransferase ALG2	
YOL130W	Q08269	ALR1	Magnesium transporter ALR1	
YFL050C	P43553	ALR2	Magnesium transporter ALR2	
YKL103C	P14904	APE1	Vacuolar aminopeptidase 1 {ECO:0000303|PubMed:17329814} precursor	API {ECO:0000303|PubMed:2651436};LAP4 {ECO:0000303|PubMed:6352682};YSC1 {ECO:0000303|PubMed:2689224}
YHR161C	P38856	YAP1801	Clathrin coat assembly protein AP180A	
YJR005W	P27351	APL1	AP-2 complex subunit beta	YAP80
YPL195W	Q08951	APL5	AP-3 complex subunit delta	YKS4
YGL240W	P53068	DOC1	Anaphase-promoting complex subunit DOC1	APC10
YLR127C	Q12440	APC2	Anaphase-promoting complex subunit 2	RSI1
YDR118W	Q04601	APC4	Anaphase-promoting complex subunit 4	
YKL157W	P32454	APE2	Aminopeptidase 2, mitochondrial precursor	LAP1
YKL114C	P22936	APN1	DNA-(apurinic or apyrimidinic site) lyase 1	
YDL137W	P19146	ARF2	ADP-ribosylation factor 2	
YOL140W	P18544	ARG8	Acetylornithine aminotransferase, mitochondrial precursor	
YMR042W	P07249	ARG80	Arginine metabolism regulation protein I	ARGR1
YHR018C	P04076	ARG4	Argininosuccinate lyase	
YHL047C	P38724	ARN2	Siderophore iron transporter ARN2	TAF1
YEL036C	P32629	ANP1	Mannan polymerase II complex ANP1 subunit	GEM3
YHR126C	P38832	ANS1	Probable GPI-anchored protein ANS1 precursor	
YPR029C	Q12028	APL4	AP-1 complex subunit gamma-1	
YHL019C	P38700	APM2	Adaptin medium chain homolog APM2	
YNL094W	P53933	APP1	Phosphatidate phosphatase APP1	
YLR118C	Q12354		Acyl-protein thioesterase 1	
YDR441C	P36973	APT2	Adenine phosphoribosyltransferase 2	
YCR048W	P25628	ARE1	Sterol O-acyltransferase 1	SAT2
YOR094W	P40994	ARF3	ADP-ribosylation factor 3	
YMR027W	Q04371		Protein-glutamate O-methyltransferase {ECO:0000250|UniProtKB:Q9H993}	
YDR421W	Q04052	ARO80	Transcriptional activator ARO80	
YPL259C	Q00776	APM1	AP-1 complex subunit mu-1-I	YAP54
YBR286W	P37302	APE3	Aminopeptidase Y precursor	
YIL040W	P40532	APQ12	Nuclear membrane organization protein APQ12	
YNL065W	P53943	AQR1	Probable transporter AQR1	
YPR192W	P0CD91	AQY1	Aquaporin-1	AQY1-2
YMR041C	Q04212	ARA2	D-arabinose 1-dehydrogenase	
YHR013C	P07347	ARD1	N-terminal acetyltransferase A complex catalytic subunit ARD1	
YGL202W	P53090	ARO8	Aromatic/aminoadipate aminotransferase 1	
YGL148W	P28777	ARO2	Chorismate synthase	
YNL059C	P53946	ARP5	Actin-related protein 5	
YDR525W	Q04413	API2	Putative uncharacterized protein API2	
YBL019W	P38207	APN2	DNA-(apurinic or apyrimidinic site) lyase 2	ETH1
YJL075C	P47036	APQ13	Putative uncharacterized protein APQ13	
YML022W	P49435	APT1	Adenine phosphoribosyltransferase 1	
YOR258W	Q08702	HNT3	Aprataxin-like protein	
YLL052C	P0CD90	AQY2	Aquaporin-like protein 2	AQY2-2
YGL157W	P53111	ARI1	NADPH-dependent aldehyde reductase ARI1	
YBR164C	P38116	ARL1	ADP-ribosylation factor-like protein 1	ARF3
YPL051W	Q02804	ARL3	ADP-ribosylation factor-like protein 3	ARP1
YDR380W	Q06408	ARO10	Transaminated amino acid decarboxylase	
YBR249C	P32449	ARO4	Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited	
YHR129C	P38696	ARP1	Centractin	ACT3;ACT5
YDL029W	P32381	ARP2	Actin-related protein 2	ACT2
YNR035C	P53731	ARC35	Actin-related protein 2/3 complex subunit 2	
YGR068C	P53244	ART5	Arrestin-related trafficking adapter 5	
YDL197C	P32448	ASF2	Anti-silencing protein 2	
YJL170C	P46993	ASG7	Protein ASG7	
YNL008C	P53983	ASI3	Protein ASI3	
YBR149W	P38115	ARA1	D-arabinose dehydrogenase [NAD(P)+] heavy chain	
YDL192W	P11076	ARF1	ADP-ribosylation factor 1	
YER069W	Q01217	ARG5,6	Protein ARG5,6, mitochondrial precursor	
YPL111W	P00812	CAR1	Arginase	
YML099C	P05085	ARG81	Arginine metabolism regulation protein II	ARGR2
YOR141C	Q12386	ARP8	Actin-like protein ARP8	
YMR033W	Q05123	ARP9	Actin-like protein ARP9	SWP59
YLR154W-A	Q8TGM7	ART2	Putative uncharacterized protein ART2	
YLR242C	Q06541	ARV1	Protein ARV1	
YDR101C	Q03862	ARX1	Probable metalloprotease ARX1	
YPR085C	Q06822	ASA1	ASTRA-associated protein 1	
YBL069W	P35183	AST1	Protein AST1	
YJR058C	Q00381	APS2	AP-2 complex subunit sigma	YAP17
YJL024C	P47064	APS3	AP-3 complex subunit sigma	YKS7
YNL172W	P53886	APC1	Anaphase-promoting complex subunit 1	
YGL105W	P46672	ARC1	tRNA-aminoacylation cofactor ARC1	G4P1
YNR019W	P53629	ARE2	Sterol O-acyltransferase 2	SAT1
YNL020C	P53974	ARK1	Actin-regulating kinase 1	
YLR154W-E	Q8TGM5	ART3	Putative uncharacterized protein ART3	
YLR160C	P0CX79	ASP3-4	L-asparaginase 2-4 precursor	
YMR162C	Q12674	DNF3	Probable phospholipid-transporting ATPase DNF3	
YOR377W	P40353	ATF1	Alcohol O-acetyltransferase 1	
YLR370C	Q05933	ARC18	Actin-related protein 2/3 complex subunit 3	
YKL013C	P33204	ARC19	Actin-related protein 2/3 complex subunit 4	
YOR058C	P50275	ASE1	Anaphase spindle elongation protein	
YJL115W	P32447	ASF1	Histone chaperone ASF1	CIA1
YML096W	Q04489		Asparagine synthetase domain-containing protein YML096W	
YGR124W	P49090	ASN2	Asparagine synthetase [glutamine-hydrolyzing] 2	
YPR093C	Q06834	ASR1	Alcohol-sensitive RING finger protein 1	
YGL006W	P38929	PMC1	Calcium-transporting ATPase 2	
YAL026C	P39524	DRS2	Probable phospholipid-transporting ATPase DRS2	
YDR093W	Q12675	DNF2	Phospholipid-transporting ATPase DNF2	
YEL031W	P39986	SPF1	Manganese-transporting ATPase 1	
YBR217W	P38316	ATG12	Ubiquitin-like protein ATG12	APG12
YLR423C	Q06410	ATG17	Autophagy-related protein 17	APG17
YFR021W	P43601	ATG18	Autophagy-related protein 18 {ECO:0000303|PubMed:14536056}	AUT10 {ECO:0000303|PubMed:11707261};CVT18 {ECO:0000303|PubMed:11739783};NMR1 {ECO:0000303|PubMed:11470404};SVP1 {ECO:0000303|PubMed:15103325}
YLR431C	Q06671	ATG23	Autophagy-related protein 23	CVT23
YNL242W	P53855	ATG2	Autophagy-related protein 2	APG2;AUT8;SPO72
YLR312C	Q06159	ATG39	Autophagy-related protein 39 {ECO:0000303|PubMed:26040717}	
YPL149W	Q12380	ATG5	Autophagy protein 5	APG5
YDR127W	P08566	ARO1	Pentafunctional AROM polypeptide {ECO:0000255|HAMAP-Rule:MF_03143}	AROM
YHR137W	P38840	ARO9	Aromatic amino acid aminotransferase 2	
YDR035W	P14843	ARO3	Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited	
YKL185W	P34233	ASH1	Transcriptional regulatory protein ASH1	
YPR145W	P49089	ASN1	Asparagine synthetase [glutamine-hydrolyzing] 1	
YLR157C	P0CX77	ASP3-2	L-asparaginase 2-2 precursor	
YOL058W	P22768	ARG1	Argininosuccinate synthase	
YER101C	P39945	AST2	Protein AST2	
YLL042C	Q07879	ATG10	Ubiquitin-like-conjugating enzyme ATG10	APG10
YJL185C	P46983	ATG36	Autophagy-related protein 36	
YDL149W	Q12142	ATG9	Autophagy-related protein 9 {ECO:0000303|PubMed:14536056}	APG9 {ECO:0000303|PubMed:8224160};AUT9 {ECO:0000303|PubMed:8663607};CVT7 {ECO:0000303|PubMed:7593182}
YPR026W	P48016	ATH1	Vacuolar acid trehalase precursor	
YDR384C	Q12359	ATO3	Ammonia transport outward protein 3	
YLR393W	P18496	ATP10	Mitochondrial ATPase complex subunit ATP10	
YML081C-A	P81450	ATP18	ATP synthase subunit J, mitochondrial	
YHL040C	P38731	ARN1	Siderophore iron transporter ARN1	
YDR106W	Q04549	ARP10	Actin-like protein ARP10	
YJL081C	P80428	ARP4	Actin-related protein 4	ACT3
YLR085C	Q12509	ARP6	Actin-like protein ARP6	
YPR034W	Q12406	ARP7	Actin-related protein 7	SWP61
YIL062C	P40518	ARC15	Actin-related protein 2/3 complex subunit 5	
YPR200C	Q06597	ARR2	Arsenical-resistance protein 2	ACR2
YPR201W	Q06598	ARR3	Arsenical-resistance protein 3 {ECO:0000305}	ACR3 {ECO:0000303|PubMed:9234670}
YLR392C	P18634	ART10	Arrestin-related trafficking adapter 10	
YKL052C	P35734	ASK1	DASH complex subunit ASK1	
YLR155C	P0CZ17	ASP3-1	L-asparaginase 2-1 precursor	
YER166W	P32660	DNF1	Phospholipid-transporting ATPase DNF1	
YIL048W	P40527	NEO1	Probable phospholipid-transporting ATPase NEO1	
YPL166W	Q12092	ATG29	Autophagy-related protein 29	
YOL083W	Q12292	ATG34	Autophagy-related protein 34	ATG19-B
YMR119W	P54074	ASI1	Protein ASI1	
YGR097W	P48361	ASK10	Activator of SKN7 protein 10	RGC2
YLR158C	P0CX78	ASP3-3	L-asparaginase 2-3 precursor	
YDR321W	P38986	ASP1	L-asparaginase 1	
YBR128C	P38270	ATG14	Autophagy-related protein 14	APG14;CVT12
YOL082W	P35193	ATG19	Autophagy-related protein 19	CVT19
YPL100W	Q02887	ATG21	Autophagy-related protein 21	CVT21;HSV1;MAI1
YLR189C	Q06321	ATG26	Sterol 3-beta-glucosyltransferase	UGT51
YLR211C	Q05789	ATG38	Autophagy-related protein 38 {ECO:0000303|PubMed:24165940}	
YNR007C	P40344	ATG3	Autophagy-related protein 3	APG3;AUT1
YBL088C	P38110	TEL1	Serine/threonine-protein kinase TEL1	
YDR040C	P13587	ENA1	Sodium transport ATPase 1	HOR6;PMR2;PMR2A
YDR038C	Q12691	ENA5	Sodium transport ATPase 5	
YJL180C	P22135	ATP12	Protein ATP12, mitochondrial precursor	
YLR295C	Q12349	ATP14	ATP synthase subunit H, mitochondrial precursor	
YNR020C	P53722	ATP23	Mitochondrial inner membrane protease ATP23	
YMR098C	Q03153	ATP25	ATPase synthesis protein 25, mitochondrial precursor	
YPL271W	P21306	ATP15	ATP synthase subunit epsilon, mitochondrial	
Q0085	P00854	ATP6	ATP synthase subunit a precursor	OLI2;OLI4;PHO1
Q0080	P00856	ATP8	ATP synthase protein 8	AAP1
YPL078C	P05626	ATP4	ATP synthase subunit 4, mitochondrial precursor	
YJR065C	P47117	ARP3	Actin-related protein 3	ACT4
YBR234C	P38328	ARC40	Actin-related protein 2/3 complex subunit 1	
YIL130W	P40467	ASG1	Activator of stress genes 1	
YNL159C	P53895	ASI2	Protein ASI2	
YGL017W	P16639	ATE1	Arginyl-tRNA--protein transferase 1	
YGR177C	P53296	ATF2	Alcohol O-acetyltransferase 2	
YPR049C	Q12527	ATG11	Autophagy-related protein 11	CVT9
YDR022C	Q12421	ATG31	Autophagy-related protein 31	CIS1
YOR152C	Q99325	ATG40	Autophagy-related protein 40 {ECO:0000303|PubMed:26040717} precursor	
